iter	Logloss
0	0.4696349153
1	0.4275749546
2	0.4199519241
3	0.393508959
4	0.3885793242
5	0.3740722548
6	0.3705406317
7	0.3510282205
8	0.3484385352
9	0.3475271479
10	0.3475191257
11	0.3475171175
12	0.3468037247
13	0.3303190539
14	0.3159076375
15	0.3106715834
16	0.2986939503
17	0.2879017855
18	0.2812892856
19	0.2743125749
20	0.2641772101
21	0.260098419
22	0.2487603248
23	0.2402064001
24	0.2351713994
25	0.2285344886
26	0.2206730485
27	0.212364561
28	0.2045648375
29	0.198845189
30	0.1916665066
31	0.1896187097
32	0.1856463009
33	0.1807360239
34	0.174829889
35	0.1660244613
36	0.1643302604
37	0.1629847965
38	0.1599686487
39	0.1556990748
40	0.1494577626
41	0.1473838421
42	0.1402780505
43	0.1352783519
44	0.1308511873
45	0.1260905776
46	0.1227275467
47	0.1202124832
48	0.1176887453
49	0.1134870929
50	0.1128197472
51	0.1089907841
52	0.1082249444
53	0.105813036
54	0.1043196812
