iter	Passed	Remaining
0	4	45660
1	7	39573
2	9	30571
3	11	28090
4	12	25222
5	14	23450
6	17	25454
7	21	27159
8	22	25479
9	24	24309
10	24	22684
11	25	21396
12	26	20580
13	29	20980
14	31	21113
15	34	21375
16	36	21523
17	39	21660
18	42	22156
19	45	22544
20	47	22576
21	50	22865
22	52	22730
23	54	22615
24	56	22720
25	58	22623
26	61	22602
27	64	22895
28	67	23174
29	70	23284
30	72	23446
31	75	23568
32	78	23641
33	80	23583
34	83	23633
35	85	23775
36	88	23953
37	91	23904
38	93	23919
39	95	23897
40	98	23922
41	100	23863
42	102	23785
43	105	23895
44	108	23911
45	110	24009
46	113	24111
47	116	24165
48	119	24278
49	122	24331
50	124	24263
51	126	24202
52	128	24182
53	131	24253
54	133	24229
